Date,BTC,ETH,BNB,SOL,TRX
4/20/2021,56473.03125,2330.210938,587.0291138,31.77005386,0.133035004
4/21/2021,53906.08984,2364.751709,546.0235596,32.51304245,0.12308
4/22/2021,51762.27344,2403.535156,506.0130005,38.87976074,0.110129997
4/23/2021,51093.65234,2363.586182,526.5652466,36.97842026,0.109025002
4/24/2021,50050.86719,2211.625732,496.4150696,40.73731613,0.102706
4/25/2021,49004.25391,2316.05957,505.0770569,47.36762619,0.101470999
4/26/2021,54021.75391,2534.481689,534.5776978,43.97651672,0.117294997
4/27/2021,55033.11719,2662.865234,568.47052,43.23900223,0.125793993
4/28/2021,54824.70313,2746.380127,562.6325684,44.82598495,0.122684002
4/29/2021,53555.10938,2756.876953,599.706543,42.46054077,0.121265002
4/30/2021,57750.17578,2773.207031,624.0805664,42.95600128,0.132229
5/1/2021,57828.05078,2945.892822,619.347229,49.50802231,0.131108001
5/2/2021,56631.07813,2952.056152,622.1010132,46.8909874,0.127653003
5/3/2021,57200.29297,3431.086182,675.684082,45.93368912,0.131614
5/4/2021,53333.53906,3253.629395,611.2003174,42.72955704,0.119393997
5/5/2021,57424.00781,3522.783203,651.6627197,44.92357635,0.146353006
5/6/2021,56396.51563,3490.880371,633.2803955,43.45567703,0.151773006
5/7/2021,57356.40234,3484.729004,624.5632935,43.15501785,0.147679999
5/8/2021,58803.77734,3902.647705,646.1008301,45.56153107,0.143111005
5/9/2021,58232.31641,3928.844727,662.2285767,44.33019638,0.142875001
5/10/2021,55859.79688,3952.293945,631.3519897,42.90963364,0.127158999
5/11/2021,56704.57422,4168.701172,672.3339233,44.57746887,0.138825998
5/12/2021,49150.53516,3785.848633,588.1851807,42.45730972,0.118698999
5/13/2021,49716.19141,3715.148438,571.4345093,40.99785233,0.121472999
5/14/2021,49880.53516,4079.057373,603.1282959,42.71786499,0.124775998
5/15/2021,46760.1875,3638.12207,563.041687,43.46130753,0.120691001
5/16/2021,46456.05859,3587.506104,562.829834,47.20082855,0.119506001
5/17/2021,43537.51172,3282.397705,511.964386,46.86320496,0.11287
5/18/2021,42909.40234,3380.070068,508.0223083,55.91096115,0.116385996
5/19/2021,37002.44141,2460.679199,339.0254822,35.10718155,0.079332002
5/20/2021,40782.73828,2784.294189,393.6127625,44.74274826,0.089597002
5/21/2021,37304.69141,2430.621338,326.2963257,38.81285095,0.077921003
5/22/2021,37536.63281,2295.705566,299.5040894,31.31558228,0.075359002
5/23/2021,34770.58203,2109.579834,262.9456787,24.68874741,0.063180998
5/24/2021,38705.98047,2643.591064,345.3096313,31.28357124,0.076723002
5/25/2021,38402.22266,2706.628906,344.1139832,29.99707794,0.077280998
5/26/2021,39294.19922,2888.69873,379.8543091,35.53981781,0.083241001
5/27/2021,38436.96875,2736.488525,367.6557922,33.58459091,0.079150997
5/28/2021,35697.60547,2419.90625,329.8799133,29.03927612,0.072086997
5/29/2021,34616.06641,2279.51416,305.0521545,27.37642097,0.068783
5/30/2021,35678.12891,2390.30542,325.7840271,28.60265923,0.072035998
5/31/2021,37332.85547,2714.945313,354.3293457,32.81624603,0.076920003
6/1/2021,36684.92578,2633.518311,362.7946472,30.98526001,0.076136
6/2/2021,37575.17969,2706.125,401.2623291,33.9563179,0.078041002
6/3/2021,39208.76563,2855.126465,427.8079224,39.4709053,0.082119003
6/4/2021,36894.40625,2688.195068,391.3953247,37.41506958,0.077252001
6/5/2021,35551.95703,2630.576904,390.4318542,39.58539963,0.075595997
6/6/2021,35862.37891,2715.092773,393.8202209,42.30837631,0.077506997
6/7/2021,33560.70703,2590.263184,357.3102112,38.26233292,0.071621001
6/8/2021,33472.63281,2517.438721,354.0013733,41.51781464,0.072632998
6/9/2021,37345.12109,2608.26709,375.7346802,42.03177643,0.075374998
6/10/2021,36702.59766,2471.518555,352.183197,41.09867477,0.072609
6/11/2021,37334.39844,2353.768799,345.9336853,36.04608536,0.069142997
6/12/2021,35552.51563,2372.484375,343.7410278,36.44168854,0.068118997
6/13/2021,39097.85938,2508.391602,366.6489563,38.77043533,0.071556002
6/14/2021,40218.47656,2537.891113,368.7927551,38.71305466,0.072251998
6/15/2021,40406.26953,2610.936768,373.5661621,41.15364838,0.072550997
6/16/2021,38347.0625,2367.663574,347.0334473,39.7036171,0.068916999
6/17/2021,38053.50391,2372.001953,352.7385254,39.26459122,0.073821999
6/18/2021,35787.24609,2231.733154,336.8096924,36.64879608,0.069583997
6/19/2021,35615.87109,2178.499023,335.7128296,35.35343552,0.068722002
6/20/2021,35698.29688,2246.364502,340.0671997,35.32201385,0.067832999
6/21/2021,31676.69336,1888.44751,270.984436,26.65740013,0.053583998
6/22/2021,32505.66016,1874.950073,261.8180847,26.77185631,0.05094
6/23/2021,33723.02734,1989.736328,294.4902954,30.04888725,0.055721998
6/24/2021,34662.4375,1988.456299,308.3970337,31.18103409,0.066024996
6/25/2021,31637.7793,1813.217285,281.6209106,28.69886208,0.061601002
6/26/2021,32186.27734,1829.239258,279.4380493,29.71285439,0.062696002
6/27/2021,34649.64453,1978.894653,290.5670166,31.92939186,0.064779997
6/28/2021,34434.33594,2079.657471,289.5341187,32.92778015,0.065231003
6/29/2021,35867.77734,2160.768311,300.2115479,33.86680222,0.067690998
6/30/2021,35040.83594,2274.547607,303.2958679,35.55640411,0.068145998
7/1/2021,33572.11719,2113.605469,288.2184143,33.40403366,0.064893998
7/2/2021,33897.04688,2150.040283,287.4230957,34.02048111,0.066512004
7/3/2021,34668.54688,2226.114258,298.2371216,34.47881699,0.066813
7/4/2021,35287.78125,2321.724121,307.7320862,34.31060028,0.067298003
7/5/2021,33746.00391,2198.58252,302.3779907,32.98458862,0.064574003
7/6/2021,34235.19531,2324.679443,320.9348145,34.26913834,0.064934999
7/7/2021,33855.32813,2315.161865,327.5224609,36.59136963,0.064295001
7/8/2021,32877.37109,2120.026367,310.427124,33.20372772,0.061122
7/9/2021,33798.01172,2146.692383,316.4845276,33.26464844,0.062178001
7/10/2021,33520.51953,2111.403564,316.1401367,31.78864479,0.061377998
7/11/2021,34240.1875,2139.664795,322.0316467,32.17784119,0.061822999
7/12/2021,33155.84766,2036.721069,316.328186,30.84808731,0.060224
7/13/2021,32702.02539,1940.083984,308.8111572,29.12118912,0.059339002
7/14/2021,32822.34766,1994.331299,309.4063721,31.28100014,0.059868999
7/15/2021,31780.73047,1911.175659,315.2440186,28.45210075,0.057716001
7/16/2021,31421.53906,1880.382935,302.9855957,26.37000847,0.055682998
7/17/2021,31533.06836,1898.825195,300.4979248,26.72166824,0.055994999
7/18/2021,31796.81055,1895.552124,302.4804993,26.75190926,0.056051001
7/19/2021,30817.83203,1817.296631,280.0186157,24.44757652,0.053449001
7/20/2021,29807.34766,1787.510742,264.7823792,23.48955536,0.050558001
7/21/2021,32110.69336,1990.970825,292.5313721,26.6230793,0.053823002
7/22/2021,32313.10547,2025.202759,293.6411438,27.70208168,0.055282
7/23/2021,33581.55078,2124.776611,299.2829895,28.51387978,0.056026999
7/24/2021,34292.44531,2189.21875,302.0718689,28.70261955,0.057347
7/25/2021,35350.1875,2191.373779,302.4361572,28.16877365,0.057879999
7/26/2021,37337.53516,2233.366699,304.478241,28.30664253,0.058554001
7/27/2021,39406.94141,2298.333496,313.6026001,28.06532669,0.060178999
7/28/2021,39995.90625,2296.54541,313.4286499,27.81541061,0.060516998
7/29/2021,40008.42188,2380.956787,316.7494507,31.28113747,0.061772
7/30/2021,42235.54688,2466.961426,322.9093628,32.39394379,0.063271999
7/31/2021,41626.19531,2536.209961,333.5495911,36.82731247,0.064094998
8/1/2021,39974.89453,2561.852051,333.4840088,34.2543602,0.063317999
8/2/2021,39201.94531,2610.15332,331.1031189,33.22241974,0.064691998
8/3/2021,38152.98047,2502.349609,322.7477417,33.99644089,0.063922003
8/4/2021,39747.50391,2724.619873,334.9187927,35.7636261,0.067394003
8/5/2021,40869.55469,2827.328857,337.8738708,37.35513687,0.070134997
8/6/2021,42816.5,2890.94165,342.1369934,39.44610214,0.071883
8/7/2021,44555.80078,3157.23877,355.7413635,39.4034729,0.075156003
8/8/2021,43798.11719,3013.732666,342.0647583,37.67382431,0.071864001
8/9/2021,46365.40234,3167.856201,354.9668274,38.76778412,0.074034996
8/10/2021,45585.03125,3141.691162,371.9543762,40.63979721,0.074658997
8/11/2021,45593.63672,3164.245117,391.7570496,41.74411392,0.083388001
8/12/2021,44428.28906,3043.414307,385.8189697,41.09936142,0.084138997
8/13/2021,47793.32031,3322.21167,410.9448853,44.89450073,0.089427002
8/14/2021,47096.94531,3265.443359,409.0344849,44.11285019,0.092660002
8/15/2021,47047.00391,3310.50415,414.5950317,53.74515915,0.093098
